non CUDA Time; 1; 25; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 284.178962; 17.032929; GPU Time 2 Mean:; 283.884860; 17.004899; GPU Time 3 Mean:; 20.699028; 0.551894; GPU Time 4 Mean:; 58.110190; 0.661540; GPU Time 5 Mean:; 22.281920; 0.128367; GPU Time 6 Mean:; 16.070800; 0.133418; GPU Time 7 Mean:; 18.904546; 0.164138; GPU Time 8 Mean:; 204.441008; 9.961923; Global Min Mean:; 13.843288; 0.038803; Global Max Mean:; 3816.973750; 5112.122712; Hash Fail Count Mean:; 0.000000; 0.000000;
non CUDA Time; 2; 50; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 568.072054; 59.805960; GPU Time 2 Mean:; 567.490816; 59.670748; GPU Time 3 Mean:; 41.386432; 1.011228; GPU Time 4 Mean:; 116.481396; 2.714395; GPU Time 5 Mean:; 44.766630; 0.639698; GPU Time 6 Mean:; 32.186028; 0.347839; GPU Time 7 Mean:; 37.839290; 0.501362; GPU Time 8 Mean:; 408.288758; 31.847621; Global Min Mean:; 13.804477; 0.046332; Global Max Mean:; 3876.140531; 4128.777272; Hash Fail Count Mean:; 0.000000; 0.000000;
non CUDA Time; 3; 75; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 852.224634; 136.662397; GPU Time 2 Mean:; 851.364212; 136.450958; GPU Time 3 Mean:; 62.024820; 2.318428; GPU Time 4 Mean:; 174.855520; 5.691517; GPU Time 5 Mean:; 67.063252; 1.058538; GPU Time 6 Mean:; 48.373416; 0.548910; GPU Time 7 Mean:; 56.889446; 0.995801; GPU Time 8 Mean:; 612.510058; 70.964416; Global Min Mean:; 13.780117; 0.039436; Global Max Mean:; 3921.283640; 3950.614572; Hash Fail Count Mean:; 0.000000; 0.000000;
non CUDA Time; 4; 100; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 1135.730874; 208.681576; GPU Time 2 Mean:; 1134.584166; 208.354415; GPU Time 3 Mean:; 82.741600; 3.044259; GPU Time 4 Mean:; 233.109932; 10.010181; GPU Time 5 Mean:; 89.356946; 1.944404; GPU Time 6 Mean:; 64.541818; 0.894770; GPU Time 7 Mean:; 75.822110; 1.695663; GPU Time 8 Mean:; 816.120116; 107.319880; Global Min Mean:; 13.753415; 0.038847; Global Max Mean:; 3950.864176; 2935.259102; Hash Fail Count Mean:; 0.000000; 0.000000;
non CUDA Time; 5; 125; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 1420.015456; 322.077031; GPU Time 2 Mean:; 1418.597112; 321.388598; GPU Time 3 Mean:; 103.287230; 4.300464; GPU Time 4 Mean:; 291.424084; 15.489929; GPU Time 5 Mean:; 111.806228; 3.306627; GPU Time 6 Mean:; 80.695138; 1.382292; GPU Time 7 Mean:; 94.697246; 2.198766; GPU Time 8 Mean:; 1020.637740; 167.855114; Global Min Mean:; 13.743178; 0.035496; Global Max Mean:; 3965.889693; 3058.416689; Hash Fail Count Mean:; 0.000000; 0.000000;
non CUDA Time; 6; 150; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 1703.645712; 443.608278; GPU Time 2 Mean:; 1701.954470; 442.557070; GPU Time 3 Mean:; 123.948142; 5.768971; GPU Time 4 Mean:; 349.693676; 20.246110; GPU Time 5 Mean:; 134.083876; 3.947305; GPU Time 6 Mean:; 96.862112; 2.015059; GPU Time 7 Mean:; 113.689292; 3.246523; GPU Time 8 Mean:; 1224.436534; 228.966313; Global Min Mean:; 13.726823; 0.036544; Global Max Mean:; 3979.064280; 3779.757218; Hash Fail Count Mean:; 0.000000; 0.000000;
non CUDA Time; 7; 175; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 1987.246140; 568.801053; GPU Time 2 Mean:; 1985.284004; 567.406178; GPU Time 3 Mean:; 144.637874; 7.758942; GPU Time 4 Mean:; 407.849216; 27.188273; GPU Time 5 Mean:; 156.499530; 6.954277; GPU Time 6 Mean:; 112.932480; 2.380753; GPU Time 7 Mean:; 132.515160; 3.757008; GPU Time 8 Mean:; 1428.292254; 287.206130; Global Min Mean:; 13.722105; 0.035443; Global Max Mean:; 3994.528948; 4045.624941; Hash Fail Count Mean:; 0.000000; 0.000000;
non CUDA Time; 8; 200; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 2271.441922; 775.835822; GPU Time 2 Mean:; 2269.203520; 773.290143; GPU Time 3 Mean:; 165.340120; 10.535526; GPU Time 4 Mean:; 466.147224; 35.281377; GPU Time 5 Mean:; 178.836586; 8.180939; GPU Time 6 Mean:; 129.012958; 2.882106; GPU Time 7 Mean:; 151.561398; 5.110438; GPU Time 8 Mean:; 1632.576158; 389.414562; Global Min Mean:; 13.718603; 0.035188; Global Max Mean:; 4002.865176; 3688.703567; Hash Fail Count Mean:; 0.000000; 0.000000;
non CUDA Time; 9; 225; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 2555.073044; 948.908808; GPU Time 2 Mean:; 2552.554216; 945.706760; GPU Time 3 Mean:; 186.092598; 14.538519; GPU Time 4 Mean:; 524.366926; 40.893056; GPU Time 5 Mean:; 201.145598; 9.724109; GPU Time 6 Mean:; 145.101658; 3.168851; GPU Time 7 Mean:; 170.540168; 5.590071; GPU Time 8 Mean:; 1836.333062; 474.763297; Global Min Mean:; 13.711238; 0.035171; Global Max Mean:; 4008.479152; 3873.199613; Hash Fail Count Mean:; 0.000000; 0.000000;
non CUDA Time; 10; 250; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 2838.509518; 1083.859269; GPU Time 2 Mean:; 2835.700176; 1078.671123; GPU Time 3 Mean:; 206.711796; 17.273833; GPU Time 4 Mean:; 582.655850; 48.549107; GPU Time 5 Mean:; 223.510236; 10.765157; GPU Time 6 Mean:; 161.233680; 3.514013; GPU Time 7 Mean:; 189.466028; 6.406482; GPU Time 8 Mean:; 2039.926594; 532.679988; Global Min Mean:; 13.696921; 0.039812; Global Max Mean:; 4014.312278; 4715.003408; Hash Fail Count Mean:; 0.000000; 0.000000;
non CUDA Time; 11; 275; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 3122.588768; 1309.027747; GPU Time 2 Mean:; 3119.505100; 1302.920386; GPU Time 3 Mean:; 227.560622; 21.199299; GPU Time 4 Mean:; 640.858456; 56.747230; GPU Time 5 Mean:; 245.897530; 12.480099; GPU Time 6 Mean:; 177.316422; 4.072157; GPU Time 7 Mean:; 208.358918; 7.444352; GPU Time 8 Mean:; 2244.049084; 643.919620; Global Min Mean:; 13.678253; 0.048196; Global Max Mean:; 4024.495743; 4695.855326; Hash Fail Count Mean:; 0.000000; 0.000000;
