non CUDA transp non hash; 1; 25; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 588.526358; 9.304820; GPU Time 2 Mean:; 587.396098; 9.256416; GPU Time 3 Mean:; 43.451114; 0.092931; GPU Time 4 Mean:; 0.000000; 0.000000; GPU Time 5 Mean:; 19.944882; 0.027071; GPU Time 6 Mean:; 0.000000; 0.000000; GPU Time 7 Mean:; 0.000000; 0.000000; GPU Time 8 Mean:; 0.295031; 0.000057; Global Min Mean:; 0.000000; 0.000000; Global Max Mean:; 0.706823; 0.000028; Hash Fail Count Mean:; 0.000000; 0.000000;
non CUDA transp non hash; 2; 50; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 1176.810744; 19.439665; GPU Time 2 Mean:; 1174.586110; 19.353429; GPU Time 3 Mean:; 86.944514; 0.378719; GPU Time 4 Mean:; 0.000000; 0.000000; GPU Time 5 Mean:; 39.982114; 0.083017; GPU Time 6 Mean:; 0.000000; 0.000000; GPU Time 7 Mean:; 0.000000; 0.000000; GPU Time 8 Mean:; 0.290192; 0.000069; Global Min Mean:; 0.000000; 0.000000; Global Max Mean:; 0.708782; 0.000039; Hash Fail Count Mean:; 0.000000; 0.000000;
non CUDA transp non hash; 3; 75; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 1765.714656; 26.499828; GPU Time 2 Mean:; 1762.388198; 26.377844; GPU Time 3 Mean:; 130.499922; 1.034243; GPU Time 4 Mean:; 0.000000; 0.000000; GPU Time 5 Mean:; 59.939588; 0.146906; GPU Time 6 Mean:; 0.000000; 0.000000; GPU Time 7 Mean:; 0.000000; 0.000000; GPU Time 8 Mean:; 0.288153; 0.000064; Global Min Mean:; 0.000000; 0.000000; Global Max Mean:; 0.710251; 0.000052; Hash Fail Count Mean:; 0.000000; 0.000000;
non CUDA transp non hash; 4; 100; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 2354.280694; 33.950381; GPU Time 2 Mean:; 2349.857418; 33.927486; GPU Time 3 Mean:; 173.997134; 1.594046; GPU Time 4 Mean:; 0.000000; 0.000000; GPU Time 5 Mean:; 79.932750; 0.230466; GPU Time 6 Mean:; 0.000000; 0.000000; GPU Time 7 Mean:; 0.000000; 0.000000; GPU Time 8 Mean:; 0.286031; 0.000042; Global Min Mean:; 0.000000; 0.000000; Global Max Mean:; 0.711474; 0.000057; Hash Fail Count Mean:; 0.000000; 0.000000;
non CUDA transp non hash; 5; 125; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 2942.700062; 42.518947; GPU Time 2 Mean:; 2937.180220; 42.542406; GPU Time 3 Mean:; 217.462736; 2.258833; GPU Time 4 Mean:; 0.000000; 0.000000; GPU Time 5 Mean:; 99.879096; 0.315841; GPU Time 6 Mean:; 0.000000; 0.000000; GPU Time 7 Mean:; 0.000000; 0.000000; GPU Time 8 Mean:; 0.284967; 0.000034; Global Min Mean:; 0.000000; 0.000000; Global Max Mean:; 0.712948; 0.000066; Hash Fail Count Mean:; 0.000000; 0.000000;
non CUDA transp non hash; 6; 150; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 3531.271540; 54.121191; GPU Time 2 Mean:; 3524.651552; 54.242168; GPU Time 3 Mean:; 260.983670; 2.946698; GPU Time 4 Mean:; 0.000000; 0.000000; GPU Time 5 Mean:; 119.861526; 0.453129; GPU Time 6 Mean:; 0.000000; 0.000000; GPU Time 7 Mean:; 0.000000; 0.000000; GPU Time 8 Mean:; 0.283800; 0.000029; Global Min Mean:; 0.000000; 0.000000; Global Max Mean:; 0.713400; 0.000069; Hash Fail Count Mean:; 0.000000; 0.000000;
non CUDA transp non hash; 7; 175; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 4119.584556; 69.445633; GPU Time 2 Mean:; 4111.868984; 69.451881; GPU Time 3 Mean:; 304.466052; 3.869830; GPU Time 4 Mean:; 0.000000; 0.000000; GPU Time 5 Mean:; 139.846422; 0.594289; GPU Time 6 Mean:; 0.000000; 0.000000; GPU Time 7 Mean:; 0.000000; 0.000000; GPU Time 8 Mean:; 0.282667; 0.000048; Global Min Mean:; 0.000000; 0.000000; Global Max Mean:; 0.714982; 0.000070; Hash Fail Count Mean:; 0.000000; 0.000000;
non CUDA transp non hash; 8; 200; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 4708.209728; 95.853974; GPU Time 2 Mean:; 4699.401432; 95.923008; GPU Time 3 Mean:; 347.963980; 4.983478; GPU Time 4 Mean:; 0.000000; 0.000000; GPU Time 5 Mean:; 159.859778; 0.832171; GPU Time 6 Mean:; 0.000000; 0.000000; GPU Time 7 Mean:; 0.000000; 0.000000; GPU Time 8 Mean:; 0.282522; 0.000047; Global Min Mean:; 0.000000; 0.000000; Global Max Mean:; 0.714982; 0.000070; Hash Fail Count Mean:; 0.000000; 0.000000;
non CUDA transp non hash; 9; 225; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 5296.252680; 112.031853; GPU Time 2 Mean:; 5286.349318; 112.145418; GPU Time 3 Mean:; 391.468344; 6.273186; GPU Time 4 Mean:; 0.000000; 0.000000; GPU Time 5 Mean:; 179.848776; 0.926386; GPU Time 6 Mean:; 0.000000; 0.000000; GPU Time 7 Mean:; 0.000000; 0.000000; GPU Time 8 Mean:; 0.282258; 0.000044; Global Min Mean:; 0.000000; 0.000000; Global Max Mean:; 0.715916; 0.000072; Hash Fail Count Mean:; 0.000000; 0.000000;
non CUDA transp non hash; 10; 250; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 5885.313158; 121.498057; GPU Time 2 Mean:; 5874.309880; 121.684862; GPU Time 3 Mean:; 434.992198; 7.343979; GPU Time 4 Mean:; 0.000000; 0.000000; GPU Time 5 Mean:; 199.828914; 1.132721; GPU Time 6 Mean:; 0.000000; 0.000000; GPU Time 7 Mean:; 0.000000; 0.000000; GPU Time 8 Mean:; 0.282201; 0.000044; Global Min Mean:; 0.000000; 0.000000; Global Max Mean:; 0.716460; 0.000071; Hash Fail Count Mean:; 0.000000; 0.000000;
non CUDA transp non hash; 11; 275; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 6473.868976; 141.624868; GPU Time 2 Mean:; 6461.768428; 142.191805; GPU Time 3 Mean:; 478.530974; 8.884014; GPU Time 4 Mean:; 0.000000; 0.000000; GPU Time 5 Mean:; 219.808348; 1.252246; GPU Time 6 Mean:; 0.000000; 0.000000; GPU Time 7 Mean:; 0.000000; 0.000000; GPU Time 8 Mean:; 0.281846; 0.000035; Global Min Mean:; 0.000000; 0.000000; Global Max Mean:; 0.717531; 0.000066; Hash Fail Count Mean:; 0.000000; 0.000000;
non CUDA transp non hash; 12; 300; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 7062.850394; 176.294895; GPU Time 2 Mean:; 7049.651120; 177.160923; GPU Time 3 Mean:; 522.134962; 10.711074; GPU Time 4 Mean:; 0.000000; 0.000000; GPU Time 5 Mean:; 239.828954; 1.413977; GPU Time 6 Mean:; 0.000000; 0.000000; GPU Time 7 Mean:; 0.000000; 0.000000; GPU Time 8 Mean:; 0.281191; 0.000042; Global Min Mean:; 0.000000; 0.000000; Global Max Mean:; 0.718585; 0.000064; Hash Fail Count Mean:; 0.000000; 0.000000;
non CUDA transp non hash; 13; 325; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 7651.555248; 195.387210; GPU Time 2 Mean:; 7637.262588; 196.420085; GPU Time 3 Mean:; 565.627546; 12.725997; GPU Time 4 Mean:; 0.000000; 0.000000; GPU Time 5 Mean:; 259.857544; 1.524924; GPU Time 6 Mean:; 0.000000; 0.000000; GPU Time 7 Mean:; 0.000000; 0.000000; GPU Time 8 Mean:; 0.281145; 0.000041; Global Min Mean:; 0.000000; 0.000000; Global Max Mean:; 0.719681; 0.000061; Hash Fail Count Mean:; 0.000000; 0.000000;
