Time non CUDA AVX time 4; 1; 25; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 160.051778; 0.487626; GPU Time 2 Mean:; 157.653884; 0.488830; GPU Time 3 Mean:; 12.054012; 0.006882; GPU Time 4 Mean:; 18.608106; 0.095901; GPU Time 5 Mean:; 6.649930; 0.002551; GPU Time 6 Mean:; 3.813860; 0.006637; GPU Time 7 Mean:; 6.971082; 0.064798; GPU Time 8 Mean:; 126.228014; 0.461892; Global Min Mean:; 0.094833; 0.000215; Global Max Mean:; 0.905223; 0.000137; Hash Fail Count Mean:; 0.000000; 0.000000;
Time non CUDA AVX time 4; 2; 50; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 316.437384; 1.066097; GPU Time 2 Mean:; 311.663168; 1.064786; GPU Time 3 Mean:; 24.123928; 0.032532; GPU Time 4 Mean:; 37.075104; 0.246692; GPU Time 5 Mean:; 13.290778; 0.005861; GPU Time 6 Mean:; 7.605098; 0.015614; GPU Time 7 Mean:; 13.830822; 0.159778; GPU Time 8 Mean:; 248.938674; 0.853073; Global Min Mean:; 0.083966; 0.000126; Global Max Mean:; 0.912275; 0.000165; Hash Fail Count Mean:; 0.000000; 0.000000;
Time non CUDA AVX time 4; 3; 75; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 471.563536; 1.419773; GPU Time 2 Mean:; 464.413622; 1.418652; GPU Time 3 Mean:; 36.198996; 0.065542; GPU Time 4 Mean:; 55.585400; 0.457025; GPU Time 5 Mean:; 19.933506; 0.008536; GPU Time 6 Mean:; 11.414450; 0.021009; GPU Time 7 Mean:; 20.715002; 0.310817; GPU Time 8 Mean:; 370.340628; 1.194381; Global Min Mean:; 0.081725; 0.000103; Global Max Mean:; 0.915129; 0.000180; Hash Fail Count Mean:; 0.020000; 0.019600;
Time non CUDA AVX time 4; 4; 100; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 625.903508; 2.025673; GPU Time 2 Mean:; 616.376786; 2.020811; GPU Time 3 Mean:; 48.281232; 0.102842; GPU Time 4 Mean:; 74.063084; 0.607561; GPU Time 5 Mean:; 26.573026; 0.010033; GPU Time 6 Mean:; 15.219734; 0.025629; GPU Time 7 Mean:; 27.576680; 0.415514; GPU Time 8 Mean:; 490.982930; 1.665337; Global Min Mean:; 0.078313; 0.000128; Global Max Mean:; 0.918752; 0.000164; Hash Fail Count Mean:; 0.040000; 0.038400;
Time non CUDA AVX time 4; 5; 125; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 779.875778; 2.953963; GPU Time 2 Mean:; 767.972742; 2.947081; GPU Time 3 Mean:; 60.358454; 0.132559; GPU Time 4 Mean:; 92.557584; 0.740300; GPU Time 5 Mean:; 33.211510; 0.014969; GPU Time 6 Mean:; 19.022266; 0.032493; GPU Time 7 Mean:; 34.455636; 0.508688; GPU Time 8 Mean:; 611.247894; 2.255944; Global Min Mean:; 0.076368; 0.000140; Global Max Mean:; 0.921895; 0.000121; Hash Fail Count Mean:; 0.040000; 0.038400;
Time non CUDA AVX time 4; 6; 150; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 933.381750; 3.924948; GPU Time 2 Mean:; 919.102416; 3.910665; GPU Time 3 Mean:; 72.444968; 0.191799; GPU Time 4 Mean:; 110.999666; 1.077984; GPU Time 5 Mean:; 39.851526; 0.018718; GPU Time 6 Mean:; 22.809902; 0.036673; GPU Time 7 Mean:; 41.294566; 0.770638; GPU Time 8 Mean:; 731.089916; 2.836784; Global Min Mean:; 0.074834; 0.000151; Global Max Mean:; 0.923701; 0.000100; Hash Fail Count Mean:; 0.040000; 0.038400;
Time non CUDA AVX time 4; 7; 175; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 1086.494534; 5.272045; GPU Time 2 Mean:; 1069.837226; 5.240894; GPU Time 3 Mean:; 84.541902; 0.258662; GPU Time 4 Mean:; 129.445198; 1.422579; GPU Time 5 Mean:; 46.491280; 0.026027; GPU Time 6 Mean:; 26.608530; 0.049001; GPU Time 7 Mean:; 48.127060; 0.984384; GPU Time 8 Mean:; 850.518370; 3.752858; Global Min Mean:; 0.071522; 0.000191; Global Max Mean:; 0.926788; 0.000081; Hash Fail Count Mean:; 0.040000; 0.038400;
Time non CUDA AVX time 4; 8; 200; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 1239.473128; 6.190623; GPU Time 2 Mean:; 1220.440402; 6.150813; GPU Time 3 Mean:; 96.622460; 0.316234; GPU Time 4 Mean:; 147.972290; 1.884376; GPU Time 5 Mean:; 53.135864; 0.028742; GPU Time 6 Mean:; 30.413880; 0.054413; GPU Time 7 Mean:; 55.031138; 1.379969; GPU Time 8 Mean:; 969.753704; 4.293726; Global Min Mean:; 0.070749; 0.000186; Global Max Mean:; 0.927190; 0.000077; Hash Fail Count Mean:; 0.040000; 0.038400;
Time non CUDA AVX time 4; 9; 225; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 1392.201052; 7.200589; GPU Time 2 Mean:; 1370.793062; 7.154418; GPU Time 3 Mean:; 108.692156; 0.364371; GPU Time 4 Mean:; 166.482852; 2.407053; GPU Time 5 Mean:; 59.775336; 0.031969; GPU Time 6 Mean:; 34.214418; 0.057480; GPU Time 7 Mean:; 61.932358; 1.794544; GPU Time 8 Mean:; 1088.769022; 5.068661; Global Min Mean:; 0.070011; 0.000185; Global Max Mean:; 0.928672; 0.000060; Hash Fail Count Mean:; 0.040000; 0.038400;
Time non CUDA AVX time 4; 10; 250; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 1544.542722; 8.032787; GPU Time 2 Mean:; 1520.759728; 7.988623; GPU Time 3 Mean:; 120.755228; 0.409444; GPU Time 4 Mean:; 184.958776; 2.790979; GPU Time 5 Mean:; 66.408856; 0.039604; GPU Time 6 Mean:; 37.999740; 0.063942; GPU Time 7 Mean:; 68.817128; 2.073186; GPU Time 8 Mean:; 1207.435690; 5.541273; Global Min Mean:; 0.069235; 0.000205; Global Max Mean:; 0.930301; 0.000060; Hash Fail Count Mean:; 0.040000; 0.038400;
Time non CUDA AVX time 4; 11; 275; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 1696.746764; 9.481285; GPU Time 2 Mean:; 1670.587468; 9.427583; GPU Time 3 Mean:; 132.808748; 0.448022; GPU Time 4 Mean:; 203.516230; 3.248756; GPU Time 5 Mean:; 73.054078; 0.045481; GPU Time 6 Mean:; 41.794236; 0.065723; GPU Time 7 Mean:; 75.760740; 2.425183; GPU Time 8 Mean:; 1325.891320; 6.435259; Global Min Mean:; 0.068306; 0.000201; Global Max Mean:; 0.931402; 0.000071; Hash Fail Count Mean:; 0.060000; 0.056400;
