Time non CUDA AVX time 4; 1; 25; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 316.304134; 8.074288; GPU Time 2 Mean:; 311.491266; 8.281461; GPU Time 3 Mean:; 25.619344; 0.296016; GPU Time 4 Mean:; 31.322452; 0.309780; GPU Time 5 Mean:; 11.570020; 0.018164; GPU Time 6 Mean:; 7.018862; 0.041820; GPU Time 7 Mean:; 11.552614; 0.146837; GPU Time 8 Mean:; 253.758538; 5.388143; Global Min Mean:; 0.202665; 0.000131; Global Max Mean:; 0.798461; 0.000132; Hash Fail Count Mean:; 0.000000; 0.000000;
Time non CUDA AVX time 4; 2; 50; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 625.295580; 14.257759; GPU Time 2 Mean:; 615.734452; 14.669041; GPU Time 3 Mean:; 51.215648; 0.767989; GPU Time 4 Mean:; 62.636716; 0.568084; GPU Time 5 Mean:; 23.141640; 0.036053; GPU Time 6 Mean:; 13.992152; 0.094414; GPU Time 7 Mean:; 23.142326; 0.369709; GPU Time 8 Mean:; 500.302326; 11.513915; Global Min Mean:; 0.192919; 0.000177; Global Max Mean:; 0.806700; 0.000068; Hash Fail Count Mean:; 0.000000; 0.000000;
Time non CUDA AVX time 4; 3; 75; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 931.616094; 25.536649; GPU Time 2 Mean:; 917.291358; 26.099439; GPU Time 3 Mean:; 76.740642; 1.507719; GPU Time 4 Mean:; 94.029334; 0.958561; GPU Time 5 Mean:; 34.711956; 0.071385; GPU Time 6 Mean:; 21.030636; 0.194412; GPU Time 7 Mean:; 34.747010; 0.672267; GPU Time 8 Mean:; 744.157856; 20.477928; Global Min Mean:; 0.187077; 0.000131; Global Max Mean:; 0.809466; 0.000087; Hash Fail Count Mean:; 0.000000; 0.000000;
Time non CUDA AVX time 4; 4; 100; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 1236.048064; 31.235342; GPU Time 2 Mean:; 1216.955978; 31.698862; GPU Time 3 Mean:; 102.209718; 2.390182; GPU Time 4 Mean:; 125.321300; 1.621366; GPU Time 5 Mean:; 46.246120; 0.093550; GPU Time 6 Mean:; 27.999480; 0.330216; GPU Time 7 Mean:; 46.359218; 1.235983; GPU Time 8 Mean:; 986.276398; 26.007122; Global Min Mean:; 0.182687; 0.000066; Global Max Mean:; 0.811513; 0.000119; Hash Fail Count Mean:; 0.000000; 0.000000;
Time non CUDA AVX time 4; 5; 125; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 1539.325240; 36.146275; GPU Time 2 Mean:; 1515.475344; 36.742541; GPU Time 3 Mean:; 127.666002; 3.366796; GPU Time 4 Mean:; 156.544208; 2.221760; GPU Time 5 Mean:; 57.776874; 0.111704; GPU Time 6 Mean:; 34.953702; 0.463433; GPU Time 7 Mean:; 57.923880; 1.789483; GPU Time 8 Mean:; 1227.334216; 30.529531; Global Min Mean:; 0.181224; 0.000042; Global Max Mean:; 0.813667; 0.000142; Hash Fail Count Mean:; 0.000000; 0.000000;
Time non CUDA AVX time 4; 6; 150; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 1842.340446; 40.143284; GPU Time 2 Mean:; 1813.738534; 40.711443; GPU Time 3 Mean:; 153.209624; 4.554114; GPU Time 4 Mean:; 187.883910; 3.303902; GPU Time 5 Mean:; 69.338674; 0.128805; GPU Time 6 Mean:; 41.927082; 0.561832; GPU Time 7 Mean:; 69.551814; 2.865932; GPU Time 8 Mean:; 1467.929274; 35.286363; Global Min Mean:; 0.180104; 0.000027; Global Max Mean:; 0.816885; 0.000173; Hash Fail Count Mean:; 0.000000; 0.000000;
Time non CUDA AVX time 4; 7; 175; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 2144.551544; 49.711435; GPU Time 2 Mean:; 2111.179514; 50.197912; GPU Time 3 Mean:; 178.750440; 5.900287; GPU Time 4 Mean:; 219.301276; 4.304774; GPU Time 5 Mean:; 80.898062; 0.176168; GPU Time 6 Mean:; 48.954636; 0.738580; GPU Time 7 Mean:; 81.202268; 3.617057; GPU Time 8 Mean:; 1707.626758; 44.255712; Global Min Mean:; 0.178116; 0.000033; Global Max Mean:; 0.820253; 0.000180; Hash Fail Count Mean:; 0.000000; 0.000000;
Time non CUDA AVX time 4; 8; 200; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 2445.766858; 56.714264; GPU Time 2 Mean:; 2407.637506; 57.351350; GPU Time 3 Mean:; 204.212756; 7.177492; GPU Time 4 Mean:; 250.577104; 6.211365; GPU Time 5 Mean:; 92.452730; 0.218000; GPU Time 6 Mean:; 55.937838; 0.944280; GPU Time 7 Mean:; 92.763156; 5.014257; GPU Time 8 Mean:; 1946.561766; 50.089099; Global Min Mean:; 0.177999; 0.000033; Global Max Mean:; 0.822539; 0.000181; Hash Fail Count Mean:; 0.000000; 0.000000;
Time non CUDA AVX time 4; 9; 225; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 2746.984320; 67.738652; GPU Time 2 Mean:; 2704.103160; 68.828742; GPU Time 3 Mean:; 229.671242; 8.682022; GPU Time 4 Mean:; 281.895228; 6.971390; GPU Time 5 Mean:; 104.014310; 0.232480; GPU Time 6 Mean:; 62.935022; 1.143546; GPU Time 7 Mean:; 104.344042; 6.189399; GPU Time 8 Mean:; 2185.464968; 64.579278; Global Min Mean:; 0.177228; 0.000048; Global Max Mean:; 0.824647; 0.000163; Hash Fail Count Mean:; 0.000000; 0.000000;
Time non CUDA AVX time 4; 10; 250; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 3047.455688; 78.174170; GPU Time 2 Mean:; 2999.810708; 79.388270; GPU Time 3 Mean:; 255.149096; 10.705853; GPU Time 4 Mean:; 313.180976; 9.498946; GPU Time 5 Mean:; 115.552956; 0.230682; GPU Time 6 Mean:; 69.944732; 1.335771; GPU Time 7 Mean:; 115.906918; 8.691273; GPU Time 8 Mean:; 2423.628664; 79.275375; Global Min Mean:; 0.175938; 0.000075; Global Max Mean:; 0.825868; 0.000193; Hash Fail Count Mean:; 0.000000; 0.000000;
Time non CUDA AVX time 4; 11; 275; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 3347.833308; 95.016089; GPU Time 2 Mean:; 3295.430490; 96.064267; GPU Time 3 Mean:; 280.686252; 12.562418; GPU Time 4 Mean:; 344.501290; 11.931102; GPU Time 5 Mean:; 127.099514; 0.275679; GPU Time 6 Mean:; 76.969744; 1.572596; GPU Time 7 Mean:; 127.479962; 10.777419; GPU Time 8 Mean:; 2661.606240; 95.105649; Global Min Mean:; 0.175707; 0.000072; Global Max Mean:; 0.826974; 0.000188; Hash Fail Count Mean:; 0.000000; 0.000000;
