omp; 1; 50; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 32.794448; 1.973332; GPU Time 2 Mean:; 32.751236; 1.970407; GPU Time 3 Mean:; 1.658337; 0.006992; GPU Time 4 Mean:; 9.600985; 0.544846; GPU Time 5 Mean:; 2.435877; 0.052066; GPU Time 6 Mean:; 0.000000; 0.000000; GPU Time 7 Mean:; 0.000000; 0.000000; GPU Time 8 Mean:; 0.000000; 0.000000; Global Min Mean:; 0.001231; 0.000000; Global Max Mean:; 0.997133; 0.000003; Hash Fail Count Mean:; 0.020000; 0.039600;
omp; 2; 100; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 65.080399; 4.008169; GPU Time 2 Mean:; 64.994282; 4.000091; GPU Time 3 Mean:; 3.324385; 0.032874; GPU Time 4 Mean:; 18.785818; 0.808662; GPU Time 5 Mean:; 4.858441; 0.077553; GPU Time 6 Mean:; 0.000000; 0.000000; GPU Time 7 Mean:; 0.000000; 0.000000; GPU Time 8 Mean:; 0.000000; 0.000000; Global Min Mean:; 0.001230; 0.000000; Global Max Mean:; 0.997981; 0.000003; Hash Fail Count Mean:; 0.110000; 0.247900;
omp; 3; 150; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 97.372275; 7.060259; GPU Time 2 Mean:; 97.243657; 7.044575; GPU Time 3 Mean:; 4.986855; 0.054152; GPU Time 4 Mean:; 27.982264; 1.333686; GPU Time 5 Mean:; 7.283384; 0.164673; GPU Time 6 Mean:; 0.000000; 0.000000; GPU Time 7 Mean:; 0.000000; 0.000000; GPU Time 8 Mean:; 0.000000; 0.000000; Global Min Mean:; 0.001230; 0.000000; Global Max Mean:; 0.998682; 0.000002; Hash Fail Count Mean:; 0.210000; 0.455900;
omp; 4; 200; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 129.518628; 9.428119; GPU Time 2 Mean:; 129.347441; 9.401037; GPU Time 3 Mean:; 6.632477; 0.063700; GPU Time 4 Mean:; 37.115020; 1.773522; GPU Time 5 Mean:; 9.675727; 0.183701; GPU Time 6 Mean:; 0.000000; 0.000000; GPU Time 7 Mean:; 0.000000; 0.000000; GPU Time 8 Mean:; 0.000000; 0.000000; Global Min Mean:; 0.001230; 0.000000; Global Max Mean:; 0.998949; 0.000001; Hash Fail Count Mean:; 0.460000; 0.948400;
omp; 5; 250; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 161.849123; 12.554516; GPU Time 2 Mean:; 161.634675; 12.527128; GPU Time 3 Mean:; 8.316405; 0.131694; GPU Time 4 Mean:; 46.322574; 2.202469; GPU Time 5 Mean:; 12.097629; 0.223505; GPU Time 6 Mean:; 0.000000; 0.000000; GPU Time 7 Mean:; 0.000000; 0.000000; GPU Time 8 Mean:; 0.000000; 0.000000; Global Min Mean:; 0.001230; 0.000000; Global Max Mean:; 0.999148; 0.000001; Hash Fail Count Mean:; 0.640000; 1.310400;
omp; 6; 300; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 194.048567; 15.646175; GPU Time 2 Mean:; 193.778711; 15.440495; GPU Time 3 Mean:; 9.983328; 0.149020; GPU Time 4 Mean:; 55.488593; 2.638201; GPU Time 5 Mean:; 14.496869; 0.251996; GPU Time 6 Mean:; 0.000000; 0.000000; GPU Time 7 Mean:; 0.000000; 0.000000; GPU Time 8 Mean:; 0.000000; 0.000000; Global Min Mean:; 0.001230; 0.000000; Global Max Mean:; 0.999323; 0.000001; Hash Fail Count Mean:; 1.000000; 2.120000;
omp; 7; 350; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 226.421858; 18.785896; GPU Time 2 Mean:; 226.109667; 18.597602; GPU Time 3 Mean:; 11.647633; 0.167593; GPU Time 4 Mean:; 64.695646; 3.145653; GPU Time 5 Mean:; 16.910362; 0.304929; GPU Time 6 Mean:; 0.000000; 0.000000; GPU Time 7 Mean:; 0.000000; 0.000000; GPU Time 8 Mean:; 0.000000; 0.000000; Global Min Mean:; 0.001230; 0.000000; Global Max Mean:; 0.999383; 0.000001; Hash Fail Count Mean:; 1.400000; 2.520000;
omp; 8; 400; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 258.942805; 24.775142; GPU Time 2 Mean:; 258.588544; 24.583364; GPU Time 3 Mean:; 13.335206; 0.205745; GPU Time 4 Mean:; 74.001919; 4.501220; GPU Time 5 Mean:; 19.355005; 0.465933; GPU Time 6 Mean:; 0.000000; 0.000000; GPU Time 7 Mean:; 0.000000; 0.000000; GPU Time 8 Mean:; 0.000000; 0.000000; Global Min Mean:; 0.001230; 0.000000; Global Max Mean:; 0.999450; 0.000001; Hash Fail Count Mean:; 1.700000; 2.790000;
omp; 9; 450; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 291.182926; 28.266095; GPU Time 2 Mean:; 290.786099; 28.072960; GPU Time 3 Mean:; 15.002858; 0.246241; GPU Time 4 Mean:; 83.184541; 5.013351; GPU Time 5 Mean:; 21.760500; 0.505728; GPU Time 6 Mean:; 0.000000; 0.000000; GPU Time 7 Mean:; 0.000000; 0.000000; GPU Time 8 Mean:; 0.000000; 0.000000; Global Min Mean:; 0.001230; 0.000000; Global Max Mean:; 0.999552; 0.000000; Hash Fail Count Mean:; 2.140000; 3.500400;
omp; 10; 500; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 323.463708; 29.924198; GPU Time 2 Mean:; 323.024605; 29.722591; GPU Time 3 Mean:; 16.662087; 0.267899; GPU Time 4 Mean:; 92.388795; 5.134049; GPU Time 5 Mean:; 24.162340; 0.519421; GPU Time 6 Mean:; 0.000000; 0.000000; GPU Time 7 Mean:; 0.000000; 0.000000; GPU Time 8 Mean:; 0.000000; 0.000000; Global Min Mean:; 0.001230; 0.000000; Global Max Mean:; 0.999585; 0.000000; Hash Fail Count Mean:; 2.830000; 5.091100;
omp; 11; 550; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 355.695619; 34.545247; GPU Time 2 Mean:; 355.214373; 34.344232; GPU Time 3 Mean:; 18.335097; 0.334280; GPU Time 4 Mean:; 101.607371; 5.767113; GPU Time 5 Mean:; 26.582554; 0.562673; GPU Time 6 Mean:; 0.000000; 0.000000; GPU Time 7 Mean:; 0.000000; 0.000000; GPU Time 8 Mean:; 0.000000; 0.000000; Global Min Mean:; 0.001230; 0.000000; Global Max Mean:; 0.999626; 0.000000; Hash Fail Count Mean:; 3.450000; 6.077500;
omp; 12; 600; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 387.906401; 37.169225; GPU Time 2 Mean:; 387.380046; 36.980842; GPU Time 3 Mean:; 19.998087; 0.337695; GPU Time 4 Mean:; 110.801211; 6.101709; GPU Time 5 Mean:; 28.977248; 0.564123; GPU Time 6 Mean:; 0.000000; 0.000000; GPU Time 7 Mean:; 0.000000; 0.000000; GPU Time 8 Mean:; 0.000000; 0.000000; Global Min Mean:; 0.001230; 0.000000; Global Max Mean:; 0.999664; 0.000000; Hash Fail Count Mean:; 4.090000; 7.051900;
omp; 13; 650; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 420.175925; 40.440826; GPU Time 2 Mean:; 419.607092; 40.285274; GPU Time 3 Mean:; 21.677394; 0.348612; GPU Time 4 Mean:; 119.990682; 6.490318; GPU Time 5 Mean:; 31.385546; 0.580837; GPU Time 6 Mean:; 0.000000; 0.000000; GPU Time 7 Mean:; 0.000000; 0.000000; GPU Time 8 Mean:; 0.000000; 0.000000; Global Min Mean:; 0.001230; 0.000000; Global Max Mean:; 0.999695; 0.000000; Hash Fail Count Mean:; 4.880000; 9.705600;
omp; 14; 700; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 452.594969; 44.007554; GPU Time 2 Mean:; 451.983771; 43.851602; GPU Time 3 Mean:; 23.365561; 0.433247; GPU Time 4 Mean:; 129.310901; 7.269511; GPU Time 5 Mean:; 33.827643; 0.735981; GPU Time 6 Mean:; 0.000000; 0.000000; GPU Time 7 Mean:; 0.000000; 0.000000; GPU Time 8 Mean:; 0.000000; 0.000000; Global Min Mean:; 0.001230; 0.000000; Global Max Mean:; 0.999721; 0.000000; Hash Fail Count Mean:; 5.700000; 10.870000;
omp; 15; 750; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 484.917124; 45.168104; GPU Time 2 Mean:; 484.262325; 45.010691; GPU Time 3 Mean:; 25.017959; 0.432021; GPU Time 4 Mean:; 138.535958; 7.659579; GPU Time 5 Mean:; 36.236418; 0.795104; GPU Time 6 Mean:; 0.000000; 0.000000; GPU Time 7 Mean:; 0.000000; 0.000000; GPU Time 8 Mean:; 0.000000; 0.000000; Global Min Mean:; 0.001230; 0.000000; Global Max Mean:; 0.999733; 0.000000; Hash Fail Count Mean:; 6.550000; 12.837500;
omp; 16; 800; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 517.194628; 46.465735; GPU Time 2 Mean:; 516.497428; 46.333585; GPU Time 3 Mean:; 26.683007; 0.462727; GPU Time 4 Mean:; 147.792998; 7.763933; GPU Time 5 Mean:; 38.658320; 0.829083; GPU Time 6 Mean:; 0.000000; 0.000000; GPU Time 7 Mean:; 0.000000; 0.000000; GPU Time 8 Mean:; 0.000000; 0.000000; Global Min Mean:; 0.001230; 0.000000; Global Max Mean:; 0.999743; 0.000000; Hash Fail Count Mean:; 7.520000; 15.689600;
omp; 17; 850; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 549.745892; 51.834602; GPU Time 2 Mean:; 549.004987; 51.576606; GPU Time 3 Mean:; 28.355998; 0.478530; GPU Time 4 Mean:; 157.115679; 8.601991; GPU Time 5 Mean:; 41.100225; 0.997945; GPU Time 6 Mean:; 0.000000; 0.000000; GPU Time 7 Mean:; 0.000000; 0.000000; GPU Time 8 Mean:; 0.000000; 0.000000; Global Min Mean:; 0.001230; 0.000000; Global Max Mean:; 0.999760; 0.000000; Hash Fail Count Mean:; 8.420000; 17.463600;
omp; 18; 900; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 582.071466; 56.488958; GPU Time 2 Mean:; 581.287148; 56.120346; GPU Time 3 Mean:; 30.012464; 0.484701; GPU Time 4 Mean:; 166.396071; 9.538675; GPU Time 5 Mean:; 43.533197; 1.060222; GPU Time 6 Mean:; 0.000000; 0.000000; GPU Time 7 Mean:; 0.000000; 0.000000; GPU Time 8 Mean:; 0.000000; 0.000000; Global Min Mean:; 0.001230; 0.000000; Global Max Mean:; 0.999769; 0.000000; Hash Fail Count Mean:; 9.460000; 20.548400;
omp; 19; 950; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 614.556409; 59.343270; GPU Time 2 Mean:; 613.729694; 58.943654; GPU Time 3 Mean:; 31.686957; 0.535574; GPU Time 4 Mean:; 175.732661; 9.818700; GPU Time 5 Mean:; 45.973133; 1.088256; GPU Time 6 Mean:; 0.000000; 0.000000; GPU Time 7 Mean:; 0.000000; 0.000000; GPU Time 8 Mean:; 0.000000; 0.000000; Global Min Mean:; 0.001230; 0.000000; Global Max Mean:; 0.999789; 0.000000; Hash Fail Count Mean:; 10.520000; 24.689600;
omp; 20; 1000; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 646.978704; 60.349764; GPU Time 2 Mean:; 646.109445; 59.937877; GPU Time 3 Mean:; 33.357838; 0.547119; GPU Time 4 Mean:; 185.064642; 9.946182; GPU Time 5 Mean:; 48.389701; 1.104081; GPU Time 6 Mean:; 0.000000; 0.000000; GPU Time 7 Mean:; 0.000000; 0.000000; GPU Time 8 Mean:; 0.000000; 0.000000; Global Min Mean:; 0.001230; 0.000000; Global Max Mean:; 0.999804; 0.000000; Hash Fail Count Mean:; 11.710000; 29.135900;
